episode_id	chef_id
1	46
1	47
1	48
2	25
2	26
2	27
3	8
3	9
3	10
4	1
4	2
4	3
5	7
5	8
5	9
6	13
6	14
6	15
7	20
7	21
7	22
8	7
8	8
8	9
9	2
9	3
9	4
10	2
10	3
10	4
11	1
11	2
11	3
12	1
12	2
12	3
13	5
13	6
13	7
14	1
14	2
14	3
15	21
15	22
15	23
16	5
16	6
16	7
17	41
17	42
17	43
18	7
18	8
18	9
19	2
19	5
19	4
20	5
20	6
20	7
21	12
21	13
21	14
22	1
22	2
22	3
23	5
23	6
23	7
24	11
24	12
24	13
25	5
25	6
25	7
26	1
26	2
26	3
27	8
27	9
27	10
28	4
28	5
28	6
29	7
29	8
29	9
30	1
30	2
30	3
31	1
31	2
31	3
32	5
32	6
32	7
33	8
33	9
33	3
34	3
34	4
34	5
35	1
35	2
35	3
36	3
36	4
36	5
37	44
37	45
37	46
38	21
38	22
38	23
39	13
39	14
39	15
40	1
40	2
40	3
41	13
41	14
41	15
42	4
42	5
42	6
43	2
43	3
43	4
44	13
44	14
44	15
45	8
45	9
45	10
46	11
46	12
46	14
47	21
47	22
47	23
48	14
48	15
48	16
49	1
49	2
49	3
50	11
50	12
50	14