step_id	rec_id	_order	step_details
220	35	3	Add the sliced onions to the skillet and cook until golden brown, about 8-10 minutes.
221	35	4	Add the marinated chicken pieces to the skillet and cook until browned on all sides, about 5-7 minutes.
222	35	5	Add the drained rice to the skillet and stir to coat in the spices and chicken drippings.
223	35	6	Pour in the chicken broth and stir to combine. Bring to a boil, then reduce the heat to low, cover, and simmer for 15-20 minutes, or until the rice is cooked through and fluffy.
224	35	7	Remove the skillet from the heat and let it sit, covered, for 5 minutes before fluffing the rice with a fork. Serve hot with raita or your favorite curry.
225	36	1	Preheat the oven to 325°F (160°C). Grease a 9-inch (23cm) springform pan and line the bottom with parchment paper.
226	36	2	In a large mixing bowl, combine the graham cracker crumbs, melted butter, and sugar. Press the mixture into the bottom of the prepared pan.
227	36	3	In another large mixing bowl, beat the cream cheese until smooth. Add the sugar and beat until creamy and well combined.
228	36	4	Add the eggs, one at a time, beating well after each addition. Stir in the sour cream, vanilla extract, and lemon juice until smooth.
229	36	5	Pour the cheesecake batter over the crust in the prepared pan. Smooth the top with a spatula.
230	36	6	Bake the cheesecake in the preheated oven for 45-50 minutes, or until the edges are set but the center is slightly wobbly.
231	36	7	Turn off the oven and leave the cheesecake inside with the door slightly ajar for 1 hour to cool slowly.
232	36	8	Remove the cheesecake from the oven and refrigerate for at least 4 hours, or overnight, to chill and set.
233	37	1	In a large pot, combine the chicken broth, soy sauce, mirin, sake, and sugar. Bring to a simmer over medium heat.
234	37	2	Add the sliced pork belly to the pot and simmer for 3-4 minutes, or until cooked through.
235	37	3	Add the tofu, mushrooms, and napa cabbage to the pot. Simmer for an additional 3-4 minutes, or until the vegetables are tender.
236	37	4	To serve, ladle the hot pot into individual bowls and garnish with chopped green onions and sesame seeds. Serve with steamed rice or noodles on the side.
237	38	1	Preheat the oven to 350°F (175°C). Grease a 9x13 inch baking dish with butter or cooking spray.
238	38	2	In a large mixing bowl, whisk together the eggs, sugar, and vanilla extract until well combined.
239	38	3	In a separate saucepan, heat the milk and butter over medium heat until the butter is melted and the mixture is steaming.
240	38	4	Slowly pour the hot milk mixture into the egg mixture, whisking constantly, until smooth and well combined.
241	38	5	Arrange the bread slices in the prepared baking dish, overlapping slightly if necessary.
242	38	6	Pour the egg mixture over the bread, ensuring that each slice is evenly coated.
243	38	7	Let the bread soak in the egg mixture for 10-15 minutes, pressing down occasionally to ensure thorough soaking.
244	38	8	Bake in the preheated oven for 45-50 minutes, or until the pudding is set and golden brown on top.
245	39	1	In a large pot, heat the coconut milk over medium heat until it starts to simmer.
246	39	2	Add the green curry paste to the pot and stir until it is well combined with the coconut milk.
247	39	3	Add the chicken or tofu to the pot and simmer until cooked through, about 10 minutes.
248	39	4	Add the bamboo shoots, bell peppers, and Thai basil leaves to the pot and simmer for an additional 5 minutes.
249	39	5	Season the curry with fish sauce, sugar, and lime juice to taste. Serve hot with steamed rice.
250	40	1	In a large skillet, heat the olive oil over medium heat. Add the potatoes and cook until they start to soften, about 5 minutes.
251	40	2	Add the onions and bell peppers to the skillet and cook until softened, about 5-7 minutes.
252	40	3	In a separate bowl, beat the eggs with salt and pepper. Pour the egg mixture over the vegetables in the skillet.
253	40	4	Cook the omelette, lifting the edges occasionally to let the uncooked egg flow underneath, until the bottom is set but the top is still slightly runny.
254	40	5	Flip the omelette carefully and cook for another 2-3 minutes, or until cooked through.
255	40	6	Serve the Spanish omelette hot, garnished with chopped parsley if desired.
256	41	1	In a large pot, heat the vegetable oil over medium-high heat until it reaches 375°F (190°C).
257	41	2	In a mixing bowl, combine the flour, sugar, baking powder, and salt. In a separate bowl, whisk together the eggs, ricotta cheese, and vanilla extract.
258	41	3	Add the wet ingredients to the dry ingredients and stir until just combined. Be careful not to overmix.
259	41	4	Scoop tablespoon-sized portions of the dough and carefully drop them into the hot oil. Fry until golden brown, about 3-4 minutes per side.
260	41	5	Remove the zeppole from the oil and drain on paper towels. Dust with powdered sugar before serving.
261	42	1	Preheat the oven to 375°F (190°C). Grease a 9-inch (23cm) pie dish with butter or cooking spray.
262	42	2	In a skillet, cook the bacon until crispy. Remove from the skillet and drain on paper towels, then crumble into small pieces.
263	42	3	In the same skillet, cook the onion and mushrooms until softened, about 5-7 minutes. Remove from heat and set aside.
264	42	4	In a mixing bowl, whisk together the eggs, milk, salt, and pepper until well combined.
265	42	5	Spread the cooked bacon, onion, and mushrooms evenly in the bottom of the prepared pie dish. Pour the egg mixture over the top.
266	42	6	Bake in the preheated oven for 30-35 minutes, or until the quiche is set and golden brown on top.
267	42	7	Remove from the oven and let cool for a few minutes before slicing and serving.
268	43	1	In a large skillet, heat the oil over medium heat. Add the onion and garlic and cook until softened, about 5 minutes.
269	43	2	Add the ground beef and cook until browned, breaking it up with a spoon as it cooks.
270	43	3	Stir in the tomatoes, black beans, chili powder, cumin, oregano, salt, and pepper. Simmer for 10-15 minutes to allow the flavors to meld.
271	43	4	Stir in the chocolate until melted and well combined. Taste and adjust seasoning if necessary.
272	43	5	Serve the mole negro hot, garnished with chopped cilantro and a dollop of sour cream, if desired.
273	44	1	In a mixing bowl, combine the flour, sugar, baking powder, and salt. In a separate bowl, whisk together the eggs, milk, and vanilla extract.
274	44	2	Add the wet ingredients to the dry ingredients and stir until just combined. Be careful not to overmix.
275	44	3	Heat a taiyaki pan or waffle iron and lightly grease with oil or cooking spray. Pour a small amount of batter into each mold, filling it halfway.
276	44	4	Place a small amount of sweetened red bean paste in the center of each mold, then top with more batter to cover.
277	44	5	Close the taiyaki pan or waffle iron and cook until golden brown and crispy, about 4-5 minutes.
278	44	6	Remove the taiyaki from the pan and let cool for a few minutes before serving. Enjoy warm.
279	45	1	Rinse the basmati rice under cold water until the water runs clear. Soak the rice in cold water for 30 minutes, then drain and set aside.
280	45	2	In a large skillet or Dutch oven, heat the ghee over medium heat. Add the whole spices and cook for 1-2 minutes, or until fragrant.
281	45	3	Add the sliced onions to the skillet and cook until golden brown, about 8-10 minutes.
282	45	4	Add the marinated chicken pieces to the skillet and cook until browned on all sides, about 5-7 minutes.
283	45	5	Add the drained rice to the skillet and stir to coat in the spices and chicken drippings.
284	45	6	Pour in the chicken broth and stir to combine. Bring to a boil, then reduce the heat to low, cover, and simmer for 15-20 minutes, or until the rice is cooked through and fluffy.
285	45	7	Remove the skillet from the heat and let it sit, covered, for 5 minutes before fluffing the rice with a fork. Serve hot with raita or your favorite curry.
286	46	1	Preheat the oven to 400°F (200°C). Roll out one pie crust and place it in the bottom of a 9-inch pie dish.
287	46	2	In a large skillet, melt the butter over medium heat. Add the onion, carrots, celery, and garlic, and cook until softened, about 5 minutes.
288	46	3	Add the flour to the skillet and cook for 1-2 minutes, stirring constantly.
289	46	4	Gradually whisk in the chicken broth and milk until smooth. Bring to a simmer and cook until thickened, about 5 minutes.
290	46	5	Add the cooked chicken, peas, corn, thyme, salt, and pepper to the skillet. Stir to combine.
291	46	6	Pour the chicken mixture into the prepared pie dish. Roll out the remaining pie crust and place it over the filling. Crimp the edges to seal.
292	46	7	Brush the top crust with beaten egg, then cut a few slits in the top to vent.
293	46	8	Bake in the preheated oven for 30-35 minutes, or until the crust is golden brown and the filling is bubbling.
294	46	9	Remove from the oven and let cool for a few minutes before serving. Enjoy!
295	47	1	Preheat the oven to 425°F (220°C). Rinse the duck inside and out, then pat dry with paper towels.
296	47	2	Using a sharp knife, score the skin of the duck in a crosshatch pattern, being careful not to cut into the meat.
297	47	3	In a small bowl, combine the salt, pepper, and five-spice powder. Rub the mixture all over the duck, including inside the cavity.
298	47	4	Place the duck on a rack set inside a roasting pan. Roast in the preheated oven for 1 hour, or until the skin is crispy and golden brown.
299	47	5	Remove the duck from the oven and let it rest for 10-15 minutes before carving. Serve hot with plum sauce and steamed buns.
300	48	1	In a large mixing bowl, whisk together the milk, cream, sugar, and vanilla extract until the sugar has dissolved.
301	48	2	Pour the mixture into an ice cream maker and churn according to the manufacturer's instructions until it reaches a soft serve consistency.
302	48	3	Transfer the churned gelato to a freezer-safe container and freeze for at least 4 hours, or until firm.
303	48	4	Scoop the gelato into bowls or cones and serve immediately. Enjoy!
304	49	1	In a large mixing bowl, combine the semolina flour, all-purpose flour, salt, and baking soda.
305	49	2	Add water gradually and knead the mixture into a stiff dough. Cover and let it rest for 30 minutes.
306	49	3	After resting, divide the dough into small portions and roll each portion into a ball.
307	49	4	Flatten each ball slightly and make a small indentation in the center with your thumb.
308	49	5	Heat oil in a deep frying pan over medium heat. Fry the puris until they puff up and turn golden brown on both sides.
309	49	6	Remove from the oil and drain on paper towels. Serve the pani puris with spicy mint water and sweet tamarind chutney.
310	50	1	In a large bowl, combine the fish, lime juice, lemon juice, and orange juice. Let it marinate in the refrigerator for at least 30 minutes.
311	50	2	Add the chopped onions, tomatoes, cilantro, jalapeno, and cucumber to the bowl with the marinated fish. Stir to combine.
312	50	3	Season with salt, pepper, and hot sauce to taste. Let the ceviche sit in the refrigerator for another 15-20 minutes to allow the flavors to meld.
313	50	4	To serve, divide the ceviche into bowls or onto plates. Garnish with additional cilantro and serve with tortilla chips or crackers on the side.
314	51	1	Preheat the oven to 325°F (160°C). Place ramekins or shallow baking dishes in a roasting pan and fill the pan with hot water to create a water bath.
315	51	2	In a mixing bowl, whisk together the egg yolks and sugar until pale and creamy. Stir in the vanilla extract and heavy cream until well combined.
316	51	3	Evenly divide the custard mixture among the ramekins. Tap the ramekins gently on the counter to remove any air bubbles.
317	51	4	Place the roasting pan in the preheated oven and bake for 30-35 minutes, or until the custards are set around the edges but still slightly jiggly in the center.
318	51	5	Remove the custards from the water bath and let them cool to room temperature. Refrigerate for at least 2 hours, or until chilled.
319	51	6	Just before serving, sprinkle a thin layer of granulated sugar over the tops of the custards. Use a kitchen torch to caramelize the sugar until golden brown and bubbly.
320	51	7	Let the crème brûlée sit for a few minutes to allow the caramelized sugar to harden, then serve immediately.
321	52	1	In a large pot, heat the oil over medium heat. Add the curry paste and cook for 1-2 minutes, or until fragrant.
322	52	2	Add the beef or chicken to the pot and cook until browned on all sides, about 5-7 minutes.
323	52	3	Stir in the coconut milk, fish sauce, palm sugar, lime leaves, and peanuts. Bring to a simmer and cook for 15-20 minutes.
324	52	4	Add the potatoes, onions, and carrots to the pot and simmer until the vegetables are tender, about 20-25 minutes.
325	52	5	Taste the curry and adjust seasoning with more fish sauce, sugar, or lime juice as needed. Serve hot with jasmine rice.
326	53	1	In a large skillet, heat the olive oil over medium heat. Add the potatoes and cook until they start to soften, about 5 minutes.
327	53	2	Add the onions and cook until softened and translucent, about 5-7 minutes.
328	53	3	Add the sliced potatoes to the skillet and cook until golden brown and crispy on the bottom, about 8-10 minutes.
329	53	4	Using a large plate or lid, carefully flip the tortilla and slide it back into the skillet. Cook until the other side is golden brown and crispy, about 5-7 minutes.
330	53	5	Slide the tortilla onto a serving plate and let it cool slightly before slicing into wedges. Serve warm or at room temperature.
331	54	1	In a mixing bowl, combine the flour, sugar, baking powder, and salt. In a separate bowl, whisk together the eggs, milk, and vanilla extract.
332	54	2	Add the wet ingredients to the dry ingredients and stir until just combined. Be careful not to overmix.
333	54	3	Heat a taiyaki pan or waffle iron and lightly grease with oil or cooking spray. Pour a small amount of batter into each mold, filling it halfway.
334	54	4	Place a small amount of sweetened red bean paste in the center of each mold, then top with more batter to cover.
335	54	5	Close the taiyaki pan or waffle iron and cook until golden brown and crispy, about 4-5 minutes.
336	54	6	Remove the taiyaki from the pan and let cool for a few minutes before serving. Enjoy warm.
337	55	1	Preheat the oven to 375°F (190°C). Grease a 9x13 inch baking dish with butter or cooking spray.
338	55	2	In a large mixing bowl, whisk together the eggs, sugar, and vanilla extract until well combined.
339	55	3	In a separate saucepan, heat the milk and butter over medium heat until the butter is melted and the mixture is hot but not boiling.
340	55	4	Gradually whisk the hot milk mixture into the egg mixture until smooth. Stir in the cooked rice and raisins.
341	55	5	Pour the mixture into the prepared baking dish and sprinkle with cinnamon on top.
342	55	6	Bake in the preheated oven for 45-50 minutes, or until the pudding is set and golden brown on top.
343	55	7	Remove from the oven and let cool for a few minutes before serving. Serve warm or at room temperature.
344	56	1	In a large pot, heat the olive oil over medium heat. Add the onion and garlic and cook until softened, about 5 minutes.
345	56	2	Add the diced tomatoes, tomato paste, sugar, and seasonings to the pot. Stir to combine.
346	56	3	Bring the sauce to a simmer and let it cook for about 20-25 minutes, stirring occasionally, until it thickens.
347	56	4	Meanwhile, bring a large pot of salted water to a boil. Add the spaghetti and cook according to package instructions until al dente.
348	56	5	Drain the spaghetti and add it to the pot with the sauce. Toss to coat the spaghetti evenly with the sauce.
349	56	6	Serve the spaghetti bolognese hot, garnished with grated Parmesan cheese and fresh basil leaves, if desired.
350	57	1	In a mixing bowl, combine the flour, sugar, baking powder, and salt. In a separate bowl, whisk together the eggs, milk, and vanilla extract.
351	57	2	Add the wet ingredients to the dry ingredients and stir until just combined. Be careful not to overmix.
352	57	3	Fold in the chocolate chips until evenly distributed throughout the batter.
353	57	4	Drop spoonfuls of dough onto a baking sheet lined with parchment paper, leaving space between each cookie for spreading.
354	57	5	Bake in the preheated oven for 10-12 minutes, or until the cookies are golden brown around the edges.
355	57	6	Remove from the oven and let the cookies cool on the baking sheet for a few minutes before transferring to a wire rack to cool completely.
356	57	7	Enjoy the chocolate chip cookies warm or at room temperature with a glass of milk.
357	58	1	In a large mixing bowl, combine the chicken pieces with soy sauce, rice wine vinegar, and cornstarch. Let marinate for 10-15 minutes.
358	58	2	In a separate bowl, mix together the chicken broth, soy sauce, hoisin sauce, rice wine vinegar, sugar, and sesame oil. Set aside.
359	58	3	Heat a wok or large skillet over high heat. Add the vegetable oil and heat until shimmering.
360	58	4	Add the chicken pieces to the wok and stir-fry until browned and cooked through, about 4-5 minutes.
361	58	5	Remove the chicken from the wok and set aside. Add the garlic, ginger, and dried chilies to the wok and stir-fry for 30 seconds.
362	58	6	Add the sauce mixture to the wok and bring to a simmer. Cook until the sauce thickens slightly, about 2-3 minutes.
363	58	7	Return the cooked chicken to the wok and toss to coat in the sauce. Serve hot with steamed rice and garnish with sliced green onions.
364	59	1	In a large pot, heat the olive oil over medium heat. Add the onions and cook until softened and translucent, about 5 minutes.
365	59	2	Add the garlic and cook for another minute, until fragrant.
366	59	3	Add the diced tomatoes, tomato paste, sugar, and spices to the pot. Stir to combine.
367	59	4	Bring the sauce to a simmer and let it cook for about 20-25 minutes, stirring occasionally, until it thickens.
368	59	5	Meanwhile, bring a large pot of salted water to a boil. Add the spaghetti and cook according to package instructions until al dente.
369	59	6	Drain the spaghetti and add it to the pot with the sauce. Toss to coat the spaghetti evenly with the sauce.
370	59	7	Serve the spaghetti bolognese hot, garnished with grated Parmesan cheese and fresh basil leaves, if desired.
371	60	1	In a large pot, bring the chicken broth to a boil over medium-high heat. Add the tofu and mushrooms and cook for 2-3 minutes.
372	60	2	Reduce the heat to low and stir in the miso paste until dissolved. Simmer for another 2-3 minutes.
373	60	3	Add the spinach and green onions to the pot and cook until wilted, about 1-2 minutes.
374	60	4	Remove the pot from the heat and stir in the soy sauce and sesame oil. Taste and adjust seasoning if necessary.
375	60	5	Serve the hot pot immediately, garnished with additional sliced green onions and a drizzle of sesame oil if desired.
376	60	6	Enjoy the hot pot with steamed rice or noodles on the side.
377	61	1	In a medium saucepan, combine the milk, sugar, and vanilla extract. Heat over medium-low heat until the sugar has dissolved, stirring occasionally.
378	61	2	In a separate bowl, whisk together the egg yolks and cornstarch until smooth.
379	61	3	Slowly pour the hot milk mixture into the egg yolk mixture, whisking constantly to temper the eggs.
380	61	4	Return the mixture to the saucepan and cook over medium heat, stirring constantly, until thickened, about 5-7 minutes.
381	61	5	Remove from heat and stir in the butter until melted and smooth. Let the pastry cream cool slightly before using.
382	61	6	Use the pastry cream as a filling for cakes, tarts, eclairs, or cream puffs. Enjoy!
383	62	1	Preheat the oven to 350°F (175°C). Grease a 9-inch (23cm) pie dish with butter or cooking spray.
384	62	2	In a large mixing bowl, whisk together the eggs, milk, salt, and pepper until well combined.
385	62	3	Spread the grated cheese evenly over the bottom of the pie dish. Pour the egg mixture over the cheese.
386	62	4	Bake in the preheated oven for 25-30 minutes, or until the center is set and the top is golden brown.
387	62	5	Remove from the oven and let cool for a few minutes before slicing and serving. Enjoy!
388	63	1	In a large pot, heat the oil over medium heat. Add the onion and cook until softened and translucent, about 5 minutes.
389	63	2	Add the garlic and cook for another minute, until fragrant.
390	63	3	Add the diced tomatoes, tomato paste, sugar, and spices to the pot. Stir to combine.
391	63	4	Bring the sauce to a simmer and let it cook for about 20-25 minutes, stirring occasionally, until it thickens.
392	63	5	Meanwhile, bring a large pot of salted water to a boil. Add the spaghetti and cook according to package instructions until al dente.
393	63	6	Drain the spaghetti and add it to the pot with the sauce. Toss to coat the spaghetti evenly with the sauce.
394	63	7	Serve the spaghetti bolognese hot, garnished with grated Parmesan cheese and fresh basil leaves, if desired.
395	64	1	In a large mixing bowl, combine the flour, sugar, baking powder, and salt. In a separate bowl, whisk together the eggs, milk, and vanilla extract.
396	64	2	Add the wet ingredients to the dry ingredients and stir until just combined. Be careful not to overmix.
397	64	3	Heat a taiyaki pan or waffle iron and lightly grease with oil or cooking spray. Pour a small amount of batter into each mold, filling it halfway.
398	64	4	Place a small amount of sweetened red bean paste in the center of each mold, then top with more batter to cover.
399	64	5	Close the taiyaki pan or waffle iron and cook until golden brown and crispy, about 4-5 minutes.
400	64	6	Remove the taiyaki from the pan and let cool for a few minutes before serving. Enjoy warm.
401	65	1	In a large mixing bowl, combine the chicken pieces with soy sauce, rice wine vinegar, and cornstarch. Let marinate for 10-15 minutes.
402	65	2	In a separate bowl, mix together the chicken broth, soy sauce, hoisin sauce, rice wine vinegar, sugar, and sesame oil. Set aside.
403	65	3	Heat a wok or large skillet over high heat. Add the vegetable oil and heat until shimmering.
404	65	4	Add the chicken pieces to the wok and stir-fry until browned and cooked through, about 4-5 minutes.
405	65	5	Remove the chicken from the wok and set aside. Add the garlic, ginger, and dried chilies to the wok and stir-fry for 30 seconds.
406	65	6	Add the sauce mixture to the wok and bring to a simmer. Cook until the sauce thickens slightly, about 2-3 minutes.
407	65	7	Return the cooked chicken to the wok and toss to coat in the sauce. Serve hot with steamed rice and garnish with sliced green onions.
408	66	1	In a large pot, bring the chicken broth to a boil over medium-high heat. Add the tofu and mushrooms and cook for 2-3 minutes.
409	66	2	Reduce the heat to low and stir in the miso paste until dissolved. Simmer for another 2-3 minutes.
410	66	3	Add the spinach and green onions to the pot and cook until wilted, about 1-2 minutes.
411	66	4	Remove the pot from the heat and stir in the soy sauce and sesame oil. Taste and adjust seasoning if necessary.
412	66	5	Serve the hot pot immediately, garnished with additional sliced green onions and a drizzle of sesame oil if desired.
413	66	6	Enjoy the hot pot with steamed rice or noodles on the side.
414	67	1	In a medium saucepan, combine the milk, sugar, and vanilla extract. Heat over medium-low heat until the sugar has dissolved, stirring occasionally.
415	67	2	In a separate bowl, whisk together the egg yolks and cornstarch until smooth.
416	67	3	Slowly pour the hot milk mixture into the egg yolk mixture, whisking constantly to temper the eggs.
417	67	4	Return the mixture to the saucepan and cook over medium heat, stirring constantly, until thickened, about 5-7 minutes.
418	67	5	Remove from heat and stir in the butter until melted and smooth. Let the pastry cream cool slightly before using.
419	67	6	Use the pastry cream as a filling for cakes, tarts, eclairs, or cream puffs. Enjoy!
420	68	1	Preheat the oven to 350°F (175°C). Grease a 9-inch (23cm) pie dish with butter or cooking spray.
421	68	2	In a large mixing bowl, whisk together the eggs, milk, salt, and pepper until well combined.
422	68	3	Spread the grated cheese evenly over the bottom of the pie dish. Pour the egg mixture over the cheese.
423	68	4	Bake in the preheated oven for 25-30 minutes, or until the center is set and the top is golden brown.
424	68	5	Remove from the oven and let cool for a few minutes before slicing and serving. Enjoy!
425	69	1	In a large pot, heat the oil over medium heat. Add the onion and cook until softened and translucent, about 5 minutes.
426	69	2	Add the garlic and cook for another minute, until fragrant.
427	69	3	Add the diced tomatoes, tomato paste, sugar, and spices to the pot. Stir to combine.
428	69	4	Bring the sauce to a simmer and let it cook for about 20-25 minutes, stirring occasionally, until it thickens.
429	69	5	Meanwhile, bring a large pot of salted water to a boil. Add the spaghetti and cook according to package instructions until al dente.
430	69	6	Drain the spaghetti and add it to the pot with the sauce. Toss to coat the spaghetti evenly with the sauce.
431	69	7	Serve the spaghetti bolognese hot, garnished with grated Parmesan cheese and fresh basil leaves, if desired.
432	70	1	In a large mixing bowl, combine the flour, sugar, baking powder, and salt. In a separate bowl, whisk together the eggs, milk, and vanilla extract.
433	70	2	Add the wet ingredients to the dry ingredients and stir until just combined. Be careful not to overmix.
434	70	3	Heat a taiyaki pan or waffle iron and lightly grease with oil or cooking spray. Pour a small amount of batter into each mold, filling it halfway.
435	70	4	Place a small amount of sweetened red bean paste in the center of each mold, then top with more batter to cover.
436	70	5	Close the taiyaki pan or waffle iron and cook until golden brown and crispy, about 4-5 minutes.
437	70	6	Remove the taiyaki from the pan and let cool for a few minutes before serving. Enjoy warm.
